"","WABH MMW constant pm_Tot","WABH MMW constant pm_Cor","WABH MMW constant pm_False","WABH MMW mean_pm adapt pm_Tot","WABH MMW mean_pm adapt pm_Cor","WABH MMW mean_pm adapt pm_False","WABH MMW 0.5 adapt pm_Tot","WABH MMW 0.5 adapt pm_Cor","WABH MMW 0.5 adapt pm_False","WABH MMW 0.9 adapt pm_Tot","WABH MMW 0.9 adapt pm_Cor","WABH MMW 0.9 adapt pm_False","WABH MMW mean_pm camt pm_Tot","WABH MMW mean_pm camt pm_Cor","WABH MMW mean_pm camt pm_False","WABH MMW 0.5 camt pm_Tot","WABH MMW 0.5 camt pm_Cor","WABH MMW 0.5 camt pm_False","WABH MMW 0.9 camt pm_Tot","WABH MMW 0.9 camt pm_Cor","WABH MMW 0.9 camt pm_False","Ten Rule_Tot","Ten Rule_Cor","Ten Rule_False","Adaptive BH_Tot","Adaptive BH_Cor","Adaptive BH_False","Regular BH_Tot","Regular BH_Cor","Regular BH_False","IHW_Tot","IHW_Cor","IHW_False","ADAPT_Tot","ADAPT_Cor","ADAPT_False","SWFDR_Tot","SWFDR_Cor","SWFDR_False","CAMT_Tot","CAMT_Cor","CAMT_False","LAWS_Tot","LAWS_Cor","LAWS_False"
"287",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
"288",9,8,1,1,1,0,0,0,0,0,0,0,11,10,1,11,10,1,13,12,1,2,2,0,2,2,0,2,2,0,2,2,0,0,0,0,2,2,0,26,24,2,26,23,3
"289",0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,19,19,0,31,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,52,3,35,32,3
"290",22,22,0,21,21,0,22,22,0,27,27,0,19,19,0,22,21,1,20,19,1,21,21,0,19,19,0,19,19,0,22,22,0,0,0,0,19,19,0,49,44,5,45,44,1
"291",18,18,0,17,17,0,19,19,0,26,25,1,23,21,2,24,22,2,27,26,1,16,16,0,16,16,0,16,16,0,17,17,0,0,0,0,16,16,0,52,49,3,43,43,0
"292",18,17,1,23,23,0,12,12,0,12,12,0,1,1,0,1,1,0,5,5,0,17,16,1,9,8,1,9,8,1,7,6,1,0,0,0,9,8,1,35,34,1,41,39,2
"293",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,37,7,1,1,0
"294",18,17,1,17,17,0,20,19,1,19,18,1,21,20,1,21,20,1,26,25,1,20,19,1,14,13,1,14,13,1,17,16,1,0,0,0,14,13,1,47,43,4,48,44,4
"295",15,14,1,23,23,0,23,23,0,8,8,0,12,12,0,18,18,0,20,20,0,16,15,1,4,4,0,4,4,0,14,13,1,26,26,0,4,4,0,46,44,2,47,46,1
"296",5,5,0,5,5,0,3,3,0,3,3,0,7,7,0,7,6,1,17,16,1,5,5,0,5,5,0,5,5,0,9,9,0,0,0,0,5,5,0,61,47,14,38,36,2
"297",13,13,0,17,16,1,22,20,2,21,19,2,25,25,0,26,26,0,29,28,1,14,14,0,7,7,0,7,7,0,11,11,0,29,25,4,7,7,0,50,44,6,31,29,2
"298",15,15,0,18,17,1,19,18,1,13,12,1,4,4,0,6,6,0,4,4,0,14,14,0,9,9,0,9,9,0,18,18,0,26,26,0,9,9,0,21,21,0,35,34,1
