"","WABH MMW constant pm_Tot","WABH MMW constant pm_Cor","WABH MMW constant pm_False","WABH MMW mean_pm adapt pm_Tot","WABH MMW mean_pm adapt pm_Cor","WABH MMW mean_pm adapt pm_False","WABH MMW 0.5 adapt pm_Tot","WABH MMW 0.5 adapt pm_Cor","WABH MMW 0.5 adapt pm_False","WABH MMW 0.9 adapt pm_Tot","WABH MMW 0.9 adapt pm_Cor","WABH MMW 0.9 adapt pm_False","WABH MMW mean_pm camt pm_Tot","WABH MMW mean_pm camt pm_Cor","WABH MMW mean_pm camt pm_False","WABH MMW 0.5 camt pm_Tot","WABH MMW 0.5 camt pm_Cor","WABH MMW 0.5 camt pm_False","WABH MMW 0.9 camt pm_Tot","WABH MMW 0.9 camt pm_Cor","WABH MMW 0.9 camt pm_False","Ten Rule_Tot","Ten Rule_Cor","Ten Rule_False","Adaptive BH_Tot","Adaptive BH_Cor","Adaptive BH_False","Regular BH_Tot","Regular BH_Cor","Regular BH_False","IHW_Tot","IHW_Cor","IHW_False","ADAPT_Tot","ADAPT_Cor","ADAPT_False","SWFDR_Tot","SWFDR_Cor","SWFDR_False","CAMT_Tot","CAMT_Cor","CAMT_False"
"157",14,13,1,19,19,0,26,25,1,0,0,0,13,13,0,14,14,0,21,20,1,16,13,3,3,3,0,3,3,0,14,12,2,26,25,1,3,3,0,63,57,6
"158",2,2,0,2,2,0,1,1,0,0,0,0,8,8,0,16,16,0,20,19,1,3,3,0,2,2,0,2,2,0,2,2,0,0,0,0,11,2,9,57,49,8
"159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,288,4,2,2
"160",5,5,0,7,7,0,6,6,0,3,3,0,10,10,0,12,12,0,15,15,0,5,5,0,4,4,0,4,4,0,5,5,0,0,0,0,4,4,0,32,26,6
"161",1,1,0,3,3,0,3,3,0,0,0,0,9,9,0,9,9,0,8,8,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,12,12,0
"162",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,170,1,169,32,30,2
"163",19,19,0,23,22,1,23,23,0,13,13,0,22,22,0,23,23,0,21,20,1,15,15,0,15,15,0,15,15,0,20,20,0,0,0,0,15,15,0,49,47,2
"164",17,17,0,22,22,0,24,24,0,25,25,0,40,40,0,40,40,0,38,38,0,12,12,0,9,9,0,9,9,0,17,17,0,40,39,1,9,9,0,57,54,3
"165",15,15,0,7,7,0,7,7,0,0,0,0,36,34,2,37,35,2,11,11,0,16,16,0,15,15,0,15,15,0,15,15,0,0,0,0,94,15,79,50,48,2
"166",1,1,0,0,0,0,0,0,0,0,0,0,15,15,0,18,18,0,16,16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,2
"167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168",13,13,0,12,12,0,7,7,0,1,1,0,22,20,2,18,17,1,12,12,0,12,12,0,9,9,0,9,9,0,14,13,1,23,21,2,9,9,0,61,53,8
"169",4,4,0,4,3,1,4,3,1,0,0,0,1,1,0,2,2,0,3,3,0,4,4,0,3,3,0,3,3,0,0,0,0,0,0,0,3,3,0,34,29,5
"170",6,6,0,1,1,0,1,1,0,2,2,0,22,19,3,23,20,3,20,17,3,5,5,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,46,36,10
"171",3,3,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,0,7,7,0,2,2,0,2,2,0,2,2,0,2,2,0,0,0,0,2,2,0,13,13,0
"172",1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,17,15,2
"173",25,24,1,11,11,0,8,8,0,0,0,0,48,45,3,48,45,3,50,47,3,23,22,1,12,12,0,12,12,0,22,21,1,31,31,0,12,12,0,69,62,7
"174",0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0
"175",0,0,0,6,6,0,1,1,0,0,0,0,3,3,0,8,8,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,43,1
"176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,4
"177",0,0,0,1,1,0,2,1,1,1,0,1,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"178",16,16,0,19,19,0,21,21,0,17,16,1,41,40,1,36,36,0,31,31,0,16,16,0,14,14,0,14,14,0,14,14,0,0,0,0,14,14,0,35,35,0
"179",17,17,0,21,21,0,17,17,0,0,0,0,54,53,1,53,53,0,53,53,0,18,18,0,8,8,0,8,8,0,16,16,0,47,45,2,8,8,0,86,78,8
"180",8,8,0,4,4,0,4,4,0,0,0,0,12,12,0,16,16,0,18,17,1,9,9,0,3,3,0,3,3,0,9,9,0,0,0,0,3,3,0,61,38,23
